Grid #   Flow
   114   3000
   115   2500
   116   4000
   142   4000
   143   1500
   144   1000
   145   1000
   146   2000
   147   1000
   148   1000
   149   1000
   150   1000
   151   1000
   174   1000
   175   1000
   176   1000
   177   1000
   178   1000
   179   1000
   180   1000
   181   1000
   182   1000
   183   1000
   184   1000
   185   1000
   186   1000
   187   1000
   188   1000
   189   1000
   190   1000
   191   1000
   192   1000
   193   1000
   194   2500
   215   1000
   217   1000
   218   1000
   219   1000
   220   1000
   221   1000
   222   1000
   223   1000
   224   1000
   225   1000
   226   1000
   227   1000
   228   1000
   229   1000
   230   1000
   231   1000
   232   1000
   233   1000
   234   1000
   235   4000
   236   1000
   237   1000
   238   1000
   239   1000
   261   1000
   262   1000
   263   1000
   264   1000
   265   1000
   266   1000
   267   1000
   268   1000
   269   1000
   270   1000
   271   1000
   272   1000
   273   1000
   274   1000
   275   1000
   276   1000
   277   1000
   278   1000
   279   1000
   280   4000
   281   2500
   284   1000
   285   1000
   286   1000
   287   1000
   308   4000
   310   1000
   311   1000
   312   1000
   313   1000
   314   1000
   315   1000
   316   1000
   317   1000
   318   1000
   319   1000
   320   1000
   321   1000
   322   1000
   323   1000
   324   1500
   325   1500
   326   1500
   327   1500
   328   1500
   329   4000
   330   3000
   331   2000
   332   4000
   333   4000
   335   1000
   336   1000
   337   1000
   338   1000
   359   1000
   360   1000
   361   1000
   362   1000
   363   1000
   364   1000
   365   1000
   366   1000
   367   1000
   368   1000
   369   1000
   370   1000
   371   1500
   372   1500
   373   1000
   374   2000
   375   2000
   376   1500
   377   1500
   378   1500
   379   1500
   380   3000
   381   3000
   382   3000
   383   2000
   384   4000
   385   4000
   386   4000
   387   1000
   388   1000
   389   1000
   390   1000
   405   4000
   406   1000
   407   4000
   410   1000
   411   1000
   412   1000
   413   1000
   414   1000
   415   1000
   416   1000
   417   1000
   418   1000
   419   1000
   420   2000
   421   1500
   422   1500
   423   3000
   424   2000
   425   2500
   426   4000
   427   3000
   428   1500
   429   2000
   430   1500
   431   4000
   432   4000
   433   3000
   434   3000
   435   3000
   436   4000
   437   4000
   438   4000
   439   4000
   440   1000
   441   1000
   442   1000
   443   1000
   458   1000
   459   1000
   460   1000
   465   1000
   466   1000
   467   1000
   468   1000
   469   1000
   470   2000
   471   1000
   472   1500
   473   1000
   474   1000
   475   3000
   476   1500
   477   2000
   478   2500
   479   2500
   480   4000
   481   4000
   482   4000
   483   3000
   484   1500
   485   2000
   487   4000
   488   4000
   489   4000
   490   4000
   491   3000
   492   4000
   493   4000
   494   4000
   495   4000
   496   4000
   498   1000
   499   1000
   500   1000
   501   1000
   516   1000
   517   1000
   518   1000
   525   1000
   526   1000
   527   1000
   528   1000
   529   1000
   530   1000
   531   2000
   532   1000
   533   1000
   534   1000
   535   3000
   536   1000
   537   1000
   538   2000
   539   2500
   541   2500
   542   2500
   543   2500
   544   4000
   545   4000
   547   4000
   548   4000
   556   4000
   557   4000
   558   4000
   561   1500
   562   1000
   563   1000
   564   4000
   581   1000
   582   1000
   583   1000
   587   1000
   588   1500
   589   1000
   590   1000
   591   1000
   592   1000
   593   1000
   594   1000
   595   1000
   596   1000
   597   1000
   598   1000
   599   1000
   600   1000
   601   1000
   602   2500
   603   1000
   604   2000
   605   2000
   606   2000
   607   2000
   608   2500
   609   2500
   610   2500
   611   3000
   614   4000
   615   3000
   624   4000
   625   4000
   626   4000
   629   4000
   630   1000
   631   1000
   632   1000
   633   1000
   648   1000
   650   1000
   651   1000
   652   1000
   653   1000
   654   1000
   655   1000
   656   1000
   657   1000
   658   1000
   659   1000
   660   1000
   661   1000
   662   1000
   663   1000
   664   1000
   665   1000
   666   1000
   667   1000
   668   1000
   669   2000
   670   1000
   671   1000
   672   1000
   673   1000
   675   1000
   676   1500
   677   1000
   678   1500
   679   1500
   680   2000
   681   2500
   682   2500
   683   2000
   684   2500
   685   2000
   686   2000
   689   3000
   699   4000
   700   4000
   701   4000
   704   1000
   705   1000
   706   1000
   707   1000
   724   1000
   725   1000
   726   1000
   727   2500
   728   1000
   729   1000
   730   1000
   731   1000
   732   1000
   733   1000
   734   1000
   735   1000
   736   1000
   737   1000
   739   2000
   740   1000
   741   1000
   742   1000
   743   1000
   744   1000
   745   1000
   746   1500
   747   2500
   748   1000
