Grid #   Flow
    45   1000
    61   1000
    62   1000
    63   1000
    64   1000
    65   1000
    66   1000
    68   1000
    71   1000
    72   4000
    73   1500
    74   1500
    75   1500
    76   1000
    77   1000
    78   1000
    89   1500
    90   2000
    95   1000
    96   1000
    97   1000
    98   1000
    99   1000
   100   1500
   101   1500
   103   2000
   104   1500
   105   1500
   106   1000
   109   1000
   110   1000
   111   1000
   112   2000
   113   1500
   114   1500
   115   2000
   116   2000
   117   1000
   118   1000
   119   1000
   130   1500
   131   2000
   132   2000
   135   1000
   137   1000
   138   1000
   139   1000
   140   1000
   141   1000
   142   1500
   143   1500
   144   2000
   145   2000
   146   1500
   147   1500
   151   1000
   152   1000
   153   1000
   154   1000
   155   1500
   156   1500
   157   1500
   158   2000
   159   2000
   160   2000
   161   1000
   162   1000
   163   1000
   174   2000
   175   2000
   176   2000
   177   2000
   178   2000
   179   2000
   180   3000
   181   1000
   182   1000
   183   1000
   184   1000
   185   1000
   186   1000
   187   1000
   188   2000
   189   1500
   190   1500
   191   1500
   192   1500
   194   2000
   195   1500
   199   1000
   200   1000
   201   1000
   202   4000
   203   1000
   204   2000
   205   1500
   206   1500
   207   2000
   208   2000
   209   2000
   210   2000
   211   2000
   212   1000
   224   1000
   225   1000
   226   2000
   227   2000
   228   2000
   229   2000
   230   2000
   231   2000
   232   2000
   233   2000
   234   2000
   235   2000
   236   1500
   237   1000
   238   1000
   239   1000
   240   1000
   241   1000
   242   4000
   243   1000
   246   1500
   247   1500
   248   1500
   249   1500
   250   2000
   251   2000
   255   1000
   256   1000
   257   1000
   258   1000
   260   1000
   261   1500
   262   1000
   263   1000
   264   1000
   265   2000
   266   1000
   267   2000
   268   2000
   269   1000
   270   1000
   271   1000
   272   2000
   273   1500
   274   2000
   275   2000
   276   2000
   277   4000
   289   1000
   290   1000
   291   1000
   292   2000
   293   2500
   294   2000
   295   2500
   296   2000
   297   2500
   298   2500
   299   3000
   300   1000
   301   2000
   302   2000
   303   2000
   304   2000
   305   2000
   306   2000
   307   1000
   308   1000
   309   1000
   310   1000
   311   1000
   312   1000
   313   1000
   314   1000
   318   1500
   319   1500
   320   1500
   321   2000
   322   2000
   323   1500
   324   1500
   325   1500
   328   1000
   329   1000
   330   1000
   331   1000
   332   1000
   333   2500
   334   1000
   335   1000
   336   1000
   337   1000
   338   1000
   339   2000
   340   1000
   341   1500
   342   2000
   343   1000
   344   1000
   345   1000
   346   1000
   347   2000
   348   2000
   349   2000
   350   3000
   351   2000
   352   2500
   353   2500
   367   1000
   368   1000
   369   1500
   370   2000
   371   3000
   372   2000
   373   2500
   374   3000
   375   2500
   376   2500
   377   4000
   378   4000
   379   4000
   380   1000
   381   1500
   382   2000
   383   2000
   384   2000
   385   2000
   386   1000
   387   1000
   388   1000
   389   1000
   390   1000
   391   1000
   392   1000
   393   1000
   397   3000
   398   1500
   399   1500
   400   1500
   401   1500
   402   1500
   403   1500
   404   1500
   405   1500
   408   1000
   409   1000
   410   1000
   411   1000
   412   1000
   413   1000
   414   1000
   415   1000
   416   1000
   417   1000
   418   2000
   419   1000
   420   2500
   421   1000
   422   1000
   423   1000
   424   1000
   425   2000
   426   4000
   427   2000
   428   2000
   429   3000
   430   2500
   431   2000
   432   2000
   433   2500
   446   1000
   447   1000
   448   1500
   449   2000
   450   4000
   451   2500
   452   4000
   453   4000
   454   4000
   455   4000
   456   4000
   457   4000
   458   4000
   459   4000
   460   4000
   461   1000
   462   1500
   463   2000
   464   2000
   465   2000
   466   1000
   467   1000
   468   1000
   469   1000
   470   1000
   471   1000
   472   1000
   476   3000
   477   1500
   478   1500
   479   1500
   480   1500
   481   1500
   482   1500
   483   1500
   484   1500
   485   1500
   486   1500
   490   1000
   491   1000
   492   1000
   493   1000
   494   1000
   495   1000
   496   1000
   497   1000
   498   1500
   499   2000
   500   1500
   501   1000
   502   1000
   503   1000
   504   1000
   505   2500
   506   4000
   507   4000
   508   4000
   509   2000
   510   2000
   511   2500
   512   2500
   513   2000
   514   2000
   515   2000
   528   1000
   529   1500
   530   2000
   531   2500
   532   4000
   533   4000
   534   4000
   535   4000
   536   4000
   537   4000
   538   4000
   539   4000
   540   4000
   541   4000
   542   4000
   543   4000
   544   4000
   545   1000
   546   2000
   547   1500
   548   1500
   549   1000
   550   1000
   551   1000
   552   1500
   553   1000
   554   1000
   556   1000
   558   4000
   559   2500
   560   1500
   561   1500
   562   1500
   563   1500
   564   1500
   565   1500
   566   1500
   567   1500
   568   1500
   569   1500
   570   2000
   575   1000
   577   1000
   578   1000
   579   1000
   580   1000
   581   1000
   582   1000
   583   1000
   584   1500
   585   2000
   586   2000
   587   1000
   588   1000
   589   1000
   590   1000
   591   2000
   592   4000
   593   4000
   594   4000
   595   4000
   596   2500
   597   2000
   598   2500
   599   2500
   600   2000
   601   2000
   602   2000
   603   2000
   616   4000
   617   1000
   618   2000
   619   2500
   620   4000
   621   4000
   622   4000
   623   4000
   624   4000
   625   4000
   626   4000
   627   4000
   628   4000
   629   4000
   630   4000
   631   4000
   632   4000
   633   4000
   634   4000
   635   1000
   636   1000
   637   1000
   638   1000
   639   1000
   640   1000
   641   1000
   642   1000
   643   1000
   644   1000
   646   1000
   648   3000
   649   2500
   650   1500
   651   1500
   652   1500
   653   1500
   654   1500
   655   1500
   656   1500
   657   1500
   658   1500
   659   1000
   660   1500
   661   1000
   662   1000
   666   2000
   667   1000
   668   1000
   669   1000
   670   1000
   671   1000
   672   1000
   673   1000
   674   1000
   675   2000
   676   2000
   677   1500
   678   1000
   679   1000
   680   1000
   681   1000
   682   4000
   683   4000
   685   4000
   686   4000
   687   2500
   688   2500
   689   2500
   690   2000
   691   2000
   692   2000
   693   2000
   694   2000
   695   4000
   708   4000
   709   4000
   710   3000
   711   4000
   713   1000
   714   2500
   715   4000
   716   4000
   717   4000
   718   4000
   719   4000
   720   4000
   721   4000
   722   4000
   724   4000
   725   4000
   726   4000
   727   4000
   728   4000
   729   4000
   730   4000
   731   1000
   732   1000
   733   1000
   734   1000
   735   1000
   736   1000
   737   1000
   738   1000
   739   1000
   740   1000
   741   1000
   742   1000
   743   1000
   744   2500
   745   2000
   746   1500
   747   1500
   748   1500
   749   1500
   750   1500
   751   1500
   752   1500
   753   1000
   754   1500
   755   1500
   756   1000
   757   1000
   758   1000
   759   1000
   760   1000
   765   1000
   766   1000
   767   1000
   768   2000
   769   2000
   770   1000
   771   1000
   772   1000
   773   2000
   774   1000
   775   1000
   776   1000
   777   1000
   778   4000
   779   4000
   780   4000
   781   4000
   782   2500
   783   2500
   784   2500
   785   2000
   786   2000
   787   2000
   788   2000
   789   2000
   805   2500
   806   2500
   807   4000
   808   3000
   809   3000
   810   1500
   813   2500
   814   4000
   815   4000
   816   4000
   817   4000
   818   4000
   819   4000
   820   4000
   821   4000
   823   4000
   824   4000
   825   4000
   826   4000
   827   4000
   828   4000
   829   4000
   830   1000
   831   1000
   832   1000
   833   1000
   834   1000
   835   1000
   836   1000
   837   1000
   838   1000
   839   1000
   840   1000
   841   1000
   842   1000
   843   1000
   844   1000
   845   1000
   846   1500
   847   1500
   848   1500
   849   1000
   850   1000
   851   1000
   852   1000
   853   1000
   854   1000
   855   1000
   856   1000
   857   1000
   858   1000
   859   1000
   863   2000
   864   1000
   865   1000
   866   1000
   867   2000
   868   1000
   869   1000
   870   1000
   871   1500
   872   2000
   873   1000
   874   1000
   875   1000
   876   2000
   877   4000
   878   4000
   879   4000
   880   2500
   881   3000
   882   2500
   883   2500
   884   2500
   885   2000
   886   2000
   887   2000
   888   2000
   889   2500
   890   2500
   891   3000
   908   2500
   909   2500
   910   2500
   911   2500
   912   2500
   913   2500
   914   2500
   915   2500
   918   4000
   919   3000
   923   4000
   924   4000
   925   4000
   926   4000
   927   4000
   928   4000
   929   4000
   930   4000
   933   4000
   934   4000
   935   4000
   936   4000
   937   4000
   938   4000
   939   2000
   940   1000
   941   1000
   942   1000
   943   1500
   944   2000
   945   1500
   946   1000
   947   1000
   948   1000
   949   1000
   950   1000
   951   1000
   952   1000
   953   1000
   954   1000
   955   1000
   956   1000
   957   1000
   958   1000
   959   1000
   960   1000
   961   2000
   962   1000
   963   1000
   964   1000
   965   1000
   966   1500
   967   1000
   968   1000
   972   2000
   973   1000
   974   1000
   975   1000
   976   4000
   977   1000
   978   1000
   979   1000
   980   2000
   981   1500
   982   1000
   983   1000
   984   1000
   985   2500
   987   4000
   988   3000
   989   2500
   990   3000
   991   2500
   992   2500
   993   2000
   994   2500
   995   2000
   996   2000
   997   2500
   998   2500
   999   3000
  1000   2500
  1001   4000
  1006   2500
  1019   2000
  1020   2500
  1021   2500
  1022   2500
  1023   2500
  1024   2500
  1025   2500
  1026   2500
  1027   3000
  1028   3000
  1032   4000
  1037   4000
  1038   4000
  1039   4000
  1040   3000
  1041   4000
  1042   4000
  1043   4000
  1046   3000
  1047   4000
  1048   4000
  1049   4000
  1050   4000
  1051   4000
  1052   4000
  1053   2500
  1054   3000
  1055   3000
  1056   4000
  1057   4000
  1058   3000
  1059   1000
  1060   1000
  1061   1000
  1062   1000
  1063   1000
  1064   1000
  1065   1000
  1066   1000
  1067   1000
  1068   1000
  1069   1000
  1070   1000
  1071   1000
  1072   1000
  1073   1000
  1074   1000
  1075   1000
  1076   1000
  1077   1000
  1078   1000
  1079   1000
  1080   1000
  1081   1000
  1086   1000
  1087   1000
  1088   1000
  1089   1000
  1090   1000
  1091   1000
  1092   1000
  1093   2000
  1094   1000
  1095   1000
  1096   1000
  1097   1500
  1098   2500
  1099   4000
  1100   3000
  1101   2500
  1102   2500
  1103   4000
  1104   2500
  1105   3000
  1106   2000
  1107   2000
  1108   2000
  1109   2500
  1110   3000
  1111   2500
  1112   4000
  1115   4000
  1116   4000
  1117   3000
  1118   2000
  1119   2000
  1120   2500
  1133   2500
  1134   2000
  1135   2000
  1136   2000
  1137   3000
  1138   4000
  1139   4000
  1140   4000
  1141   4000
  1142   2500
  1143   4000
  1144   4000
  1150   4000
  1153   4000
  1154   4000
  1155   4000
  1156   4000
  1157   3000
  1158   3000
  1159   4000
  1160   3000
  1161   3000
  1164   3000
  1165   3000
  1166   4000
  1167   4000
  1168   4000
  1169   4000
  1170   4000
  1171   3000
  1172   4000
  1173   4000
  1174   4000
  1175   3000
  1176   1000
  1177   1000
  1178   1000
  1179   1000
  1180   1000
  1181   1000
  1182   1000
  1183   1000
  1184   1000
  1185   1000
  1186   1000
  1187   1000
  1188   1000
  1189   1000
  1190   1000
  1191   1000
  1192   1000
  1193   1000
  1194   1000
  1195   1000
  1196   1000
  1197   1000
  1198   1000
  1199   1000
  1204   1000
  1205   1000
  1206   1000
  1207   1000
  1208   1000
  1209   1000
  1210   1000
  1211   1000
  1212   1000
  1213   1000
  1214   1000
  1215   2000
  1216   2500
  1217   3000
  1218   2500
  1219   2500
  1220   2500
  1221   3000
  1222   2500
  1223   2000
  1224   2000
  1225   2000
  1226   2000
  1227   2000
  1228   2000
  1229   3000
  1230   2500
  1231   4000
  1232   4000
  1233   4000
  1234   4000
  1235   4000
  1236   3000
  1237   3000
  1238   2000
  1239   2000
  1240   2500
  1241   2000
  1254   4000
  1255   2000
  1256   2000
  1257   2000
  1258   2000
  1259   2000
  1266   4000
  1274   4000
  1277   4000
  1278   4000
  1279   4000
  1280   4000
  1281   4000
  1282   3000
  1283   3000
  1284   3000
  1285   3000
  1288   3000
  1289   4000
  1290   4000
  1291   4000
  1292   4000
  1293   4000
  1294   4000
  1295   4000
  1296   3000
  1297   4000
  1298   4000
  1299   3000
  1300   1500
  1301   1000
  1302   1000
  1303   1000
  1304   1000
  1305   1000
  1306   1000
  1307   1000
  1308   1000
  1309   1000
  1310   1000
  1311   1000
  1312   1000
  1313   1000
  1314   1000
  1315   1000
  1316   1000
  1317   1000
  1318   1000
  1319   1000
  1320   1000
  1321   1000
  1322   1000
  1323   1000
  1324   1000
  1325   1000
  1330   1000
  1331   1000
  1332   1000
  1333   1000
  1334   1000
  1335   1000
  1336   1500
  1337   1000
  1338   1000
  1339   1000
  1340   1000
  1341   2000
  1342   2500
  1343   3000
  1344   2500
  1345   2500
  1346   2500
  1347   2500
  1348   2000
  1349   2000
  1350   2000
  1351   2000
  1352   2000
  1353   2000
  1354   4000
  1355   4000
  1356   4000
  1357   4000
  1358   4000
  1359   4000
  1360   4000
  1361   3000
  1362   3000
  1363   2500
  1364   2500
  1366   2000
  1367   2000
  1368   2000
  1383   4000
  1384   3000
  1385   2500
  1386   2500
  1387   2000
  1403   4000
  1406   4000
  1407   3000
  1408   3000
  1409   3000
  1410   3000
  1411   3000
  1412   3000
  1413   3000
  1416   4000
  1423   4000
  1424   3000
  1425   3000
  1426   2000
  1427   3000
  1428   1000
  1429   1000
  1430   1000
  1431   1000
  1432   1000
  1433   1000
  1434   1000
  1435   1000
  1436   1000
  1437   1000
  1438   1000
  1439   1000
  1440   1000
  1441   1000
  1442   1000
  1443   1000
  1444   1000
  1445   1000
  1446   1000
  1447   1000
  1448   1000
  1449   1000
  1450   1000
  1451   1000
  1452   1000
  1453   1000
  1458   1000
  1459   1000
  1460   1000
  1461   1000
  1462   1000
  1463   1000
  1464   1000
  1465   1000
  1466   1000
  1467   1000
  1468   2000
  1469   2000
  1470   3000
  1471   2000
  1472   2000
  1473   2000
  1474   2000
  1475   2500
  1476   2000
  1477   2000
  1478   2000
  1479   2500
  1480   2500
  1483   4000
  1484   4000
  1485   3000
  1486   3000
  1487   2500
  1488   2000
  1489   2000
  1490   4000
  1491   4000
  1492   4000
  1493   2000
  1494   2000
  1495   2000
  1496   2000
  1497   2000
  1510   3000
  1516   4000
  1517   4000
  1534   3000
  1537   3000
  1538   3000
  1539   3000
  1540   3000
  1541   3000
  1542   3000
  1543   3000
  1544   4000
  1554   3000
  1555   3000
  1556   1000
  1557   3000
  1558   3000
  1559   1000
  1560   1000
  1561   1000
  1562   1000
  1563   1000
  1564   1000
  1565   1000
  1566   1000
  1567   1000
  1568   1000
  1569   1000
  1570   1000
  1571   1000
  1572   1000
  1573   1000
  1574   1000
  1575   1000
  1576   1000
  1577   1000
  1578   1000
  1579   1000
  1580   1000
  1581   1000
  1582   1000
  1583   1000
  1584   1000
  1585   1000
  1590   1000
  1591   1000
  1592   1000
  1593   1000
  1594   1000
  1595   1000
  1596   1000
  1597   1000
  1598   1000
  1599   1000
  1600   2000
  1601   2000
  1602   3000
  1603   2000
  1604   2000
  1605   2000
  1606   2000
  1607   2500
  1608   2000
  1609   2500
  1610   3000
  1611   4000
  1612   2500
  1613   4000
  1614   3000
  1615   2500
  1616   2000
  1617   2000
  1618   2000
  1619   2000
  1620   2500
  1621   2000
  1622   2000
  1623   2500
  1624   2000
  1625   2000
  1626   2000
  1627   2000
  1628   2000
  1629   2500
  1642   3000
  1643   4000
  1644   4000
  1645   4000
  1646   4000
  1670   3000
  1673   3000
  1674   3000
  1675   3000
  1676   3000
  1677   3000
  1678   3000
  1679   4000
  1689   3000
  1690   3000
  1691   1000
  1692   2500
  1693   4000
  1694   1000
  1695   1000
  1696   1000
  1697   1000
  1698   1000
  1699   1000
  1700   1000
  1701   1000
  1702   1000
  1703   1000
  1704   1000
  1705   1000
  1706   1000
  1707   1000
  1708   1000
  1709   1000
  1710   1000
  1711   1000
  1712   1000
  1713   1000
  1714   1000
  1715   1000
  1716   1000
  1717   1000
  1718   1000
  1719   1000
  1720   1000
  1725   1000
  1726   1000
  1727   1000
  1728   1000
  1729   1000
  1730   1000
  1731   1000
  1732   1000
  1733   1000
  1734   1500
  1735   2000
  1736   2000
  1737   4000
  1738   2000
  1739   2000
  1740   2000
  1741   2500
  1742   2500
  1743   2000
  1744   2000
  1745   2500
  1746   2000
  1747   2500
  1748   2000
  1749   2000
  1750   2000
  1751   2000
  1752   2000
  1753   2000
  1754   2000
  1755   2000
  1756   2000
  1757   3000
  1758   2500
  1759   2000
  1760   2000
  1761   2000
  1762   2000
  1763   2000
  1764   2000
  1765   2000
  1766   2000
  1767   2000
  1780   2500
  1781   2000
  1782   2000
  1785   4000
  1786   4000
  1787   4000
  1815   3000
  1818   3000
  1819   3000
  1820   3000
  1821   3000
  1822   3000
  1823   3000
  1824   4000
  1834   3000
  1835   3000
  1836   1000
  1837   4000
  1838   4000
  1839   1000
  1840   1000
  1841   1000
  1842   1000
  1843   1000
  1844   1000
  1845   1000
  1846   1000
  1847   1000
  1848   1000
  1849   1000
  1850   1000
  1851   1000
  1852   1000
  1853   1000
  1854   1000
  1855   1000
  1856   1000
  1857   1000
  1858   1000
  1859   1000
  1860   1000
  1861   1000
  1862   1000
  1863   1000
  1864   1000
  1865   1000
  1866   1000
  1867   2000
  1868   2000
  1875   2000
  1876   1000
  1877   1000
  1878   1000
  1879   1000
  1880   1000
  1881   1000
  1882   2000
  1883   2000
  1884   2000
  1885   3000
  1886   2000
  1887   2500
  1888   2500
  1889   2500
  1890   2000
  1891   2000
  1892   2000
  1893   2000
  1894   2000
  1895   2000
  1896   2000
  1897   2000
  1898   2000
  1899   2000
  1900   2000
  1901   2000
  1902   2000
  1903   2000
  1904   2000
  1905   2000
  1906   2000
  1907   2000
  1908   2000
  1909   2000
  1910   2000
  1911   2000
  1912   2000
  1913   2000
  1914   2000
  1915   2000
  1916   2000
  1918   2000
  1930   4000
  1931   4000
  1932   2500
  1933   2000
  1934   2000
  1949   2000
  1950   4000
  1951   2500
  1952   2500
  1953   2000
  1954   1500
  1955   1500
  1956   1500
  1957   1500
  1959   4000
  1962   1000
  1963   1000
  1969   3000
  1972   3000
  1973   3000
  1974   3000
  1975   4000
  1976   4000
  1977   4000
  1987   3000
  1988   4000
  1989   1000
  1991   1000
  1992   1000
  1993   1000
  1994   1000
  1995   1000
  1996   1000
  1997   1000
  1998   1000
  1999   1000
  2000   1000
  2001   1000
  2002   1000
  2003   1000
  2004   1000
  2005   1000
  2006   1000
  2007   1000
  2008   1000
  2009   1000
  2010   1000
  2011   1000
  2012   1000
  2013   1000
  2014   1000
  2015   1000
  2016   1000
  2017   1000
  2018   1000
  2019   1000
  2020   1000
  2021   2000
  2022   2000
  2023   2000
  2030   1000
  2031   1000
  2032   1000
  2033   1000
  2034   1000
  2035   1000
  2036   1500
  2037   2000
  2038   2000
  2039   2500
  2040   4000
  2041   2000
  2042   2500
  2043   2500
  2044   2000
  2045   2000
  2046   2000
  2047   2000
  2048   2000
  2049   2000
  2050   2000
  2051   2000
  2052   2000
  2053   2000
  2054   2500
  2055   2000
  2056   2000
  2057   2000
  2058   2000
  2059   2000
  2060   2000
  2061   2000
  2062   2000
  2063   2000
  2064   2000
  2065   2000
  2066   2000
  2067   2000
  2068   2000
  2069   2000
  2070   2000
  2072   2000
  2084   1500
  2085   1500
  2086   2000
  2088   4000
  2089   3000
  2090   2500
  2091   2000
  2102   2500
  2107   1000
  2108   1000
  2109   1000
  2110   1000
  2111   1000
  2112   1000
  2113   1000
  2114   1000
  2115   1000
  2116   1000
  2117   3000
  2118   1000
  2119   3000
  2120   3000
  2121   1000
  2122   1000
  2123   4000
  2127   4000
