"","P(R)","P(R|q)"
"bin_1",0.520457923270866,0.511281619937695
"bin_2",0.456741976713281,0.511394331983806
"bin_3",0.408348632632949,0.511303251231527
"bin_4",0.366594790637751,0.509847222222222
"bin_5",0.334671225963654,0.510868661417323
"bin_6",0.280219976540045,0.510497647058824
"bin_7",0.240807696189607,0.509705098039216
"bin_8",0.180283443413319,0.511538771498771
"bin_9",0.0610798796395423,0.533568125
"bin_10",0.0326445368077287,0.676478620689655
"bin_11",0.0204446184204178,0.72075
"bin_12",0.0144566244994452,0.738542857142857
"bin_13",0.010864926713948,0.737826666666667
"bin_14",0.00772523877068558,0.72421
"bin_15",0.00581749206349206,0.610836666666667
