"cell","flow","bin","recruit"
115,2500,"bin_7",0.653672222222222
116,4000,"bin_8",0.490168421052632
142,4000,"bin_8",0.490168421052632
143,1500,"bin_6",0.53461186440678
144,1000,"bin_5",0.680204918032787
145,1000,"bin_5",0.680204918032787
146,2000,"bin_6",0.53461186440678
147,1000,"bin_5",0.680204918032787
148,1000,"bin_5",0.680204918032787
149,1000,"bin_5",0.680204918032787
150,1000,"bin_5",0.680204918032787
151,1000,"bin_5",0.680204918032787
174,1000,"bin_5",0.680204918032787
175,1000,"bin_5",0.680204918032787
176,1000,"bin_5",0.680204918032787
177,1000,"bin_5",0.680204918032787
178,1000,"bin_5",0.680204918032787
179,1000,"bin_5",0.680204918032787
180,1000,"bin_5",0.680204918032787
181,1000,"bin_5",0.680204918032787
182,1000,"bin_5",0.680204918032787
183,1000,"bin_5",0.680204918032787
184,1000,"bin_5",0.680204918032787
185,1000,"bin_5",0.680204918032787
186,1000,"bin_5",0.680204918032787
187,1000,"bin_5",0.680204918032787
188,1000,"bin_5",0.680204918032787
189,1000,"bin_5",0.680204918032787
190,1000,"bin_5",0.680204918032787
191,1000,"bin_5",0.680204918032787
192,1000,"bin_5",0.680204918032787
193,1000,"bin_5",0.680204918032787
194,2500,"bin_7",0.653672222222222
215,1000,"bin_5",0.680204918032787
217,1000,"bin_5",0.680204918032787
218,1000,"bin_5",0.680204918032787
219,1000,"bin_5",0.680204918032787
220,1000,"bin_5",0.680204918032787
221,1000,"bin_5",0.680204918032787
222,1000,"bin_5",0.680204918032787
223,1000,"bin_5",0.680204918032787
224,1000,"bin_5",0.680204918032787
225,1000,"bin_5",0.680204918032787
226,1000,"bin_5",0.680204918032787
227,1000,"bin_5",0.680204918032787
228,1000,"bin_5",0.680204918032787
229,1000,"bin_5",0.680204918032787
230,1000,"bin_5",0.680204918032787
231,1000,"bin_5",0.680204918032787
232,1000,"bin_5",0.680204918032787
233,1000,"bin_5",0.680204918032787
234,1000,"bin_5",0.680204918032787
235,4000,"bin_8",0.490168421052632
236,1000,"bin_5",0.680204918032787
237,1000,"bin_5",0.680204918032787
238,1000,"bin_5",0.680204918032787
239,1000,"bin_5",0.680204918032787
261,1000,"bin_5",0.680204918032787
262,1000,"bin_5",0.680204918032787
263,1000,"bin_5",0.680204918032787
264,1000,"bin_5",0.680204918032787
265,1000,"bin_5",0.680204918032787
266,1000,"bin_5",0.680204918032787
267,1000,"bin_5",0.680204918032787
268,1000,"bin_5",0.680204918032787
269,1000,"bin_5",0.680204918032787
270,1000,"bin_5",0.680204918032787
271,1000,"bin_5",0.680204918032787
272,1000,"bin_5",0.680204918032787
273,1000,"bin_5",0.680204918032787
274,1000,"bin_5",0.680204918032787
275,1000,"bin_5",0.680204918032787
276,1000,"bin_5",0.680204918032787
277,1000,"bin_5",0.680204918032787
278,1000,"bin_5",0.680204918032787
279,1000,"bin_5",0.680204918032787
280,4000,"bin_8",0.490168421052632
281,2500,"bin_7",0.653672222222222
284,1000,"bin_5",0.680204918032787
285,1000,"bin_5",0.680204918032787
286,1000,"bin_5",0.680204918032787
287,1000,"bin_5",0.680204918032787
308,4000,"bin_8",0.490168421052632
310,1000,"bin_5",0.680204918032787
311,1000,"bin_5",0.680204918032787
312,1000,"bin_5",0.680204918032787
313,1000,"bin_5",0.680204918032787
314,1000,"bin_5",0.680204918032787
315,1000,"bin_5",0.680204918032787
316,1000,"bin_5",0.680204918032787
317,1000,"bin_5",0.680204918032787
318,1000,"bin_5",0.680204918032787
319,1000,"bin_5",0.680204918032787
320,1000,"bin_5",0.680204918032787
321,1000,"bin_5",0.680204918032787
322,1000,"bin_5",0.680204918032787
323,1000,"bin_5",0.680204918032787
324,1500,"bin_6",0.53461186440678
325,1500,"bin_6",0.53461186440678
326,1500,"bin_6",0.53461186440678
327,1500,"bin_6",0.53461186440678
328,1500,"bin_6",0.53461186440678
329,4000,"bin_8",0.490168421052632
330,3000,"bin_7",0.653672222222222
331,2000,"bin_6",0.53461186440678
332,4000,"bin_8",0.490168421052632
333,4000,"bin_8",0.490168421052632
335,1000,"bin_5",0.680204918032787
336,1000,"bin_5",0.680204918032787
337,1000,"bin_5",0.680204918032787
338,1000,"bin_5",0.680204918032787
359,1000,"bin_5",0.680204918032787
360,1000,"bin_5",0.680204918032787
361,1000,"bin_5",0.680204918032787
362,1000,"bin_5",0.680204918032787
363,1000,"bin_5",0.680204918032787
364,1000,"bin_5",0.680204918032787
365,1000,"bin_5",0.680204918032787
366,1000,"bin_5",0.680204918032787
367,1000,"bin_5",0.680204918032787
368,1000,"bin_5",0.680204918032787
369,1000,"bin_5",0.680204918032787
370,1000,"bin_5",0.680204918032787
