"","P(R)","P(R|q)"
"bin_1",0.32393749912603,0.510624615384615
"bin_2",0.268970114810394,0.510324262295082
"bin_3",0.228825269042905,0.511341682242991
"bin_4",0.19021934563927,0.508679518072289
"bin_5",0.155654906880826,0.50914045112782
"bin_6",0.104443263842397,0.511147246376812
"bin_7",0.0606235291310874,0.511129795918367
"bin_8",0.189890228796841,0.511831310344828
"bin_9",0.221301034836783,0.5535312
"bin_10",0.235618890819897,0.691636666666667
"bin_11",0.242787563715438,0.717916363636364
"bin_12",0.247096407915563,0.737171428571429
"bin_13",0.250526773234609,0.74132
"bin_14",0.253358999245325,0.72682
"bin_15",0.259915373509151,0.598232727272727
