"cell","flow","bin","recruit"
2,1250,"bin_2",0.579030769230769
15,1750,"bin_3",0.657277272727273
17,4000,"bin_7",0.3583
20,1000,"bin_1",0.340908924600043
24,3057,"bin_6",0.6929
25,2000,"bin_3",0.657277272727273
37,1346,"bin_2",0.579030769230769
43,1052,"bin_2",0.579030769230769
45,1724,"bin_3",0.657277272727273
46,2000,"bin_3",0.657277272727273
60,3619,"bin_7",0.3583
64,3315,"bin_6",0.6929
65,2000,"bin_3",0.657277272727273
66,2404,"bin_4",0.6131625
67,1427,"bin_2",0.579030769230769
72,1115,"bin_2",0.579030769230769
86,2671,"bin_5",0.537533333333333
87,1399,"bin_2",0.579030769230769
98,1077,"bin_2",0.579030769230769
99,2931,"bin_5",0.537533333333333
100,1000,"bin_1",0.340908924600043
101,2777,"bin_5",0.537533333333333
103,2752,"bin_5",0.537533333333333
104,3092,"bin_6",0.6929
109,3000,"bin_5",0.537533333333333
118,3625,"bin_7",0.3583
119,1696,"bin_3",0.657277272727273
120,1987,"bin_3",0.657277272727273
128,1975,"bin_3",0.657277272727273
131,1000,"bin_1",0.340908924600043
132,1362,"bin_2",0.579030769230769
133,1322,"bin_2",0.579030769230769
134,1237,"bin_2",0.579030769230769
137,3290,"bin_6",0.6929
141,3945,"bin_7",0.3583
145,1589,"bin_3",0.657277272727273
148,1384,"bin_2",0.579030769230769
156,1733,"bin_3",0.657277272727273
175,1250,"bin_2",0.579030769230769
181,1250,"bin_2",0.579030769230769
186,1061,"bin_2",0.579030769230769
190,1750,"bin_3",0.657277272727273
191,1250,"bin_2",0.579030769230769
196,1000,"bin_1",0.340908924600043
197,1000,"bin_1",0.340908924600043
207,2700,"bin_5",0.537533333333333
215,1567,"bin_3",0.657277272727273
216,2652,"bin_5",0.537533333333333
217,1751,"bin_3",0.657277272727273
218,1706,"bin_3",0.657277272727273
220,2175,"bin_4",0.6131625
225,1500,"bin_2",0.579030769230769
226,2000,"bin_3",0.657277272727273
232,1000,"bin_1",0.340908924600043
235,4000,"bin_7",0.3583
