"","P(R)","P(R|q)"
"bin_1",0.520543224399142,0.510901090909091
"bin_2",0.456913380148617,0.511246842105263
"bin_3",0.408563385158104,0.510427445255474
"bin_4",0.366906386284479,0.512062992125984
"bin_5",0.33486356235436,0.510464
"bin_6",0.280488498765863,0.509280816326531
"bin_7",0.241194049389514,0.5109395215311
"bin_8",0.180560076198501,0.511556511627907
"bin_9",0.0614248011130223,0.537469090909091
"bin_10",0.0327989665830322,0.690757142857143
"bin_11",0.0203491112338451,0.718298181818182
"bin_12",0.0143851125593726,0.7389
"bin_13",0.010793861040539,0.74244
"bin_14",0.00763646128355241,0.729688
"bin_15",0.00571545196804006,0.600487272727273
